game_id,result,win_diff,loss_diff,played_diff,score_av_diff,fgoal_diff,fgoal_at_diff,pointer_diff,pointer_at_diff,off_reb_diff,def_reb_diff,ast_diff,turn_diff,stl_diff,block_diff,foul_diff,rank1,rank2,home1,away1,home2,away2
1125 vs 1396,0,-2,4,2,-12.02291666666666,-5.260416666666668,-3.5145833333333343,-2.866666666666667,-5.279166666666665,0.8187499999999996,-5.104166666666668,-5.131250000000001,-0.44374999999999964,1.989583333333333,-1.5499999999999998,1.7687500000000007,49.71875,58.84375,0.9230769230769231,0.8,0.8666666666666667,0.5454545454545454
1192 vs 1341,0,3,-1,2,0.10654936461388331,-0.6783968719452602,3.380254154447705,-1.6246334310850443,0.34408602150537604,1.986314760508309,-1.127077223851419,-1.6324535679374392,-0.8455522971652005,1.3020527859237534,-2.0391006842619745,4.9550342130987275,203.75,199.984375,0.7333333333333333,0.4375,1.0,0.42857142857142855
1113 vs 1385,0,-1,2,1,-0.2973484848484844,1.3456439393939377,2.0767045454545467,1.2651515151515156,2.3257575757575744,-4.519886363636363,-2.90340909090909,0.43655303030303116,-3.2301136363636367,2.5994318181818183,0.11458333333333348,-0.8456439393939377,53.90625,66.1875,0.8125,0.5454545454545454,0.7647058823529411,0.36363636363636365
1300 vs 1295,1,1,0,1,4.590322580645164,0.3139784946236581,-0.22365591397849016,3.4430107526881715,6.2548387096774185,-4.95268817204301,-0.7397849462365578,-3.1107526881720435,-4.85483870967742,-0.5247311827956986,-0.08279569892473138,-2.904301075268819,284.96875,194.890625,0.7777777777777778,0.25,0.7272727272727273,0.3076923076923077
1120 vs 1308,0,3,-5,-2,-1.226102941176464,0.314338235294116,-1.159926470588232,-2.0367647058823533,-2.439338235294116,0.889705882352942,3.1838235294117645,0.08823529411764675,-0.11580882352941124,-3.7628676470588243,-2.295955882352941,-0.288602941176471,14.26865671641791,44.875,0.875,0.4,0.9333333333333333,0.9090909090909091
1124 vs 1393,0,1,0,1,-1.9289772727272663,-1.6515151515151523,-1.6638257575757578,0.0018939393939394478,0.7159090909090899,-2.587121212121213,-0.59375,-1.84375,-0.826704545454545,2.1477272727272734,0.03787878787878807,-1.3570075757575744,47.53125,37.25,0.7222222222222222,0.45454545454545453,0.6842105263157895,0.6
1196 vs 1305,0,10,-11,-1,12.40196078431373,3.48306595365419,2.8208556149732615,0.7014260249554365,0.8288770053475965,-1.3146167557932262,5.207664884135475,2.734402852049911,-1.5222816399286998,-0.9946524064171127,0.20320855614973254,-0.08645276292335069,36.96875,22.746268656716417,0.6,0.45454545454545453,1.0,0.75
1436 vs 1199,1,1,1,2,2.505514705882348,1.040441176470587,3.540441176470587,-0.3125,0.22794117647058698,2.5036764705882355,0.2224264705882355,1.382352941176471,2.5,1.5643382352941178,0.3272058823529411,2.553308823529413,74.890625,13.134328358208956,0.8823529411764706,0.7333333333333333,0.9375,0.6
1211 vs 1192,0,-12,10,-2,-14.106549364613883,-5.988269794721404,-5.289345063538612,0.01857282502443791,-2.0107526881720403,-0.31964809384164106,-5.994134897360702,-4.276637341153469,3.0879765395894427,-0.029325513196480912,-1.839687194525904,0.6813294232649056,4.358208955223881,203.75,1.0,0.9,0.7333333333333333,0.4375
1318 vs 1242,1,2,-1,1,-0.7085561497326296,1.112299465240639,4.786096256684495,-2.522281639928699,-4.504456327985739,3.4126559714795013,2.8885918003565045,-1.0098039215686274,2.139928698752229,0.7014260249554365,1.7896613190730841,0.9117647058823515,79.703125,15.552238805970148,0.8461538461538461,0.5714285714285714,1.0,0.2727272727272727
